Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Fulfillment Service,Variant Inventory Policy,Variant Gauge,Image Src,Image Position
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,"Baseball Grandma, Crazy Proud, Always Loud - Personalized Shirt","<p>Introducing a gift that will make hearts flutter and cheer louder: The Baseball Grandma Double-Sided Print Shirt. As perfect as a home run on a sunny day, this shirt is a splendid celebration of the crazy proud, always loud baseball grandmas out there. Whether she’s watching her grandkids hit home runs or simply enjoying the game, this shirt is a testament to her passion and enthusiasm. It makes for an ideal gift on Mother’s Day, a time that’s perfect for cherishing and appreciating the role she plays.</p><p><br></p><p>The personalized design echoes with the enthusiasm and excitement of a true baseball fan, yet embodies the warmth of being a doting Grandma. The shirt's message is a gentle reminder as well, of the resilience, pride, cheering loud and the bond shared. Every time she dresses up in it, she'll light up with the joy of her favorite pastime and the buzz of family spirit. It’s more than just a shirt; it's a tribute to all Baseball Grandmas. So why wait? Order now and make her Mother's Day extra special with this truly perfect keepsake.</p><p><br></p><p><strong>MESSAGE:</strong></p><p>Baseball Grandma.</p><p>Crazy Proud, Always Loud.</p><p><br></p><p><strong>PRODUCT DETAILS:</strong></p><ul>
<li>100% cotton (99% for ash/grey colors, 50% for hoodie)</li>
<li>Decoration type: Digital Print</li>
</ul>",Macorner,Shirt,"['Baseball', 'for_her', 'Grandma', """"Mother's Day"""", 'Shirt', 'Tops']",TRUE,Title,Classic Tee / White / S,PR-BAS150402NTHT-2SIDES-Classic Tee-S-White,29.95,39.95,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Baseball_Grandma_Crazy_Proud_Always_Loud_Personalized_Shirt_1.png?v=1776305684,1
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,,,,,,,Title,Classic Tee / White / M,PR-BAS150402NTHT-2SIDES-Classic Tee-M-White,32.95,42.95,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Baseball_Grandma_Crazy_Proud_Always_Loud_Personalized_Shirt_2.png?v=1776305686,2
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,,,,,,,Title,Classic Tee / White / L,PR-BAS150402NTHT-2SIDES-Classic Tee-L-White,32.95,42.95,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Baseball_Grandma_Crazy_Proud_Always_Loud_Personalized_Shirt_3.png?v=1776305684,3
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,,,,,,,Title,Classic Tee / White / XL,PR-BAS150402NTHT-2SIDES-Classic Tee-XL-White,32.95,42.95,manual,deny,untracked,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Baseball_Grandma_Crazy_Proud_Always_Loud_Personalized_Shirt_4.png?v=1776305684,4
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,,,,,,,Title,Classic Tee / White / 2XL,PR-BAS150402NTHT-2SIDES-Classic Tee-2XL-White,36.95,46.95,manual,deny,untracked,,
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,,,,,,,Title,Classic Tee / White / 3XL,PR-BAS150402NTHT-2SIDES-Classic Tee-3XL-White,36.95,46.95,manual,deny,untracked,,
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,,,,,,,Title,Classic Tee / White / 4XL,PR-BAS150402NTHT-2SIDES-Classic Tee-4XL-White,36.95,46.95,manual,deny,untracked,,
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,,,,,,,Title,Classic Tee / White / 5XL,PR-BAS150402NTHT-2SIDES-Classic Tee-5XL-White,38.95,48.95,manual,deny,untracked,,
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,,,,,,,Title,Classic Tee / Sport Grey / S,PR-BAS150402NTHT-2SIDES-Classic Tee-S-Sport Grey,29.95,39.95,manual,deny,untracked,,
baseball-grandma-crazy-proud-always-loud-personalized-shirt-mamru32do,,,,,,,Title,Classic Tee / Sport Grey / M,PR-BAS150402NTHT-2SIDES-Classic Tee-M-Sport Grey,32.95,42.95,manual,deny,untracked,,
